,created_at,text
40,2021-04-26T19:27:13.000Z,"RT @KarynBryant: Check out my new interview with @CubSwanson! We talk about his #UFCVegas25 match-up with @giga_chikadze, his evolution as…"
41,2021-04-26T19:27:11.000Z,@zardigrade Tesla is the most valuable car company because of speculation not because it sold a car to 10 bil people.
42,2021-04-26T19:27:10.000Z,"RT @angeloseanlogan: The fact that electric trucks make good business sense is a given... ensuring unionized manufacturing, local hiring CB…"
43,2021-04-26T19:27:10.000Z,RT @CNBC: Tesla and Alphabet are set to report earnings — what Wall Street expects to see (via @TradingNation) https://t.co/CSKWsQ7oyd
44,2021-04-26T19:27:10.000Z,"RT @APompliano: Tesla earnings call is today. If I’m Elon Musk, I start it with the following statement:

“Our company has seen the value o…"
45,2021-04-26T19:27:07.000Z,Tesla earnings call is today. This is where @elonmusk brags to investors about the company's Bitcoin purchase while simultaneously announcing a new DOGE position.
46,2021-04-26T19:27:06.000Z,"RT @CNBC: Elon Musk: I sleep ""about 6 hours"" a night – ""I tried less, but total productivity decreases."" (via @CNBCMakeIt) https://t.co/FEe…"
47,2021-04-26T19:27:04.000Z,"RT @JeffTutorials: Under intense pressure from Tesla, @mrlevine has revealed Ford's 2022 F-150 design!

Totally unique and never see before…"
48,2021-04-26T19:27:03.000Z,"The future of money is Bitcoin, A lot of Millionaires and Billionaires like Elon musk, Bill Gates, etc are all Bitcoin Investors. Start investing in Bitcoin today and be one of the future millionaires.

Invest with us you will get your profit.  

We trade with a minimum of $500. https://t.co/0hN8oa35LR"
49,2021-04-26T19:27:02.000Z,@darrellpark @investor_2 @jasondebolt Sell the Tesla buy a honda civic and sleep there instead. Or you can go with an RV
50,2021-04-26T19:27:01.000Z,$TSLA ⬆️ or ⬇️ today after earnings?
51,2021-04-26T19:27:00.000Z,"Last time i checked chernobyl was caused my a communist country +china is still burning coal to this day + capitalism gived us people like elon musk who is making electrical cars 
Just saying https://t.co/axhdkrYjDj"
52,2021-04-26T19:27:00.000Z,What’s up with all the if you would have invested that $5 your grandmother gave you when you were 5 weeks old into Tesla it would be worth $5 million dollars today posts.
53,2021-04-26T19:26:58.000Z,"RT @passthebeano: Trying to remember if Musk did this ""legacy"" crap pre-CC last Q?

$TSLA $TSLAQ https://t.co/BiTFQMGFDD"
54,2021-04-26T19:26:56.000Z,What to expect from Tesla’s earnings report https://t.co/VaJWiUJbDL
55,2021-04-26T19:26:54.000Z,"RT @ceo_plus_ch: Here’s a video how well the #Tesla #Model3 performed in the #EuroNCAP safety tests already back in 2019. No crashes, unlik…"
56,2021-04-26T19:26:53.000Z,"Wanted for harassment:
Left a Tesla-hating fat-shaming nastygram on my windshield, not realizing Teslas have Sentry cam.  Light wasn't right to get the plate number.  
Friday 4/23/2021 17:39:10, Skylark Diner, Vestal NY.
Help me find these morons. https://t.co/49iokyUzpb"
57,2021-04-26T19:26:51.000Z,RT @christapeterso: New type of Elon Musk guy that appears to think Willy Wonka is real https://t.co/F6s6rFbviu
58,2021-04-26T19:26:49.000Z,"RT @MattWallace888: @TMFUltraLong #Dogecoin in a nutshell: 

- 5 times lower transactions fees than Ethereum per 1 million transacted.
- On…"
59,2021-04-26T19:26:48.000Z,RT @APompliano: Will @elonmusk and Tesla announce today that they bought the dip?
60,2021-04-26T19:26:48.000Z,"RT @MattWallace888: @TMFUltraLong #Dogecoin in a nutshell: 

- 5 times lower transactions fees than Ethereum per 1 million transacted.
- On…"
61,2021-04-26T19:26:47.000Z,"RT @APompliano: Tesla earnings call is today. If I’m Elon Musk, I start it with the following statement:

“Our company has seen the value o…"
62,2021-04-26T19:26:47.000Z,"RT @candies2639: DC pastor used PPP loan to buy Tesla, Baltimore property, US Attorney says | WJLA https://t.co/z34o56SPh5"
63,2021-04-26T19:26:45.000Z,"RT @Teslarati: Tesla and its peers are proving that EVs are inherently safer than combustion cars
https://t.co/ZAPCnCpTf8 by @ResidentSponge"
64,2021-04-26T19:26:42.000Z,"RT @T4m1D4n: My first weekend away. Tesla M3LR tow capacity 1000Kg, pulling Bailey D4-2 MRO 884Kg MTPLM 995Kg. Average 346wh/m (30 miles mo…"
65,2021-04-26T19:26:39.000Z,RT @iamtomnash: So let’s recap. Elon Takes over a dead space program (last NASA flight 11 years ago) and builds a freaking bus to take peop…
66,2021-04-26T19:26:38.000Z,"@elonmusk I love Elon musk very much. He is a great man in the world. I am Iranian but he is in America. But l love he very very much. 
Good luck Elon every time."
67,2021-04-26T19:26:37.000Z,RT @TeslaClubLA: Awesome turnout at Tesla Club LA cars and coffee Santa Clarita today. What an awesome @Tesla community ♥️👍 https://t.co/gT…
